% LIQUIDITY FACTORS OF PASTOR AND STAMBAUGH (JPE 2003) UPDATED THROUGH DEC 2024
% Column 1: Month
% Column 2: Levels of aggregated liquidity (Figure 1 in the paper)
% Column 3: Innovations in aggregated liquidity (non-traded liquidity factor; equation(8); the main series)
% Column 4: Traded liquidity factor (LIQ_V, 10-1 portfolio return)
% Note: The traded factor is the value-weighted return on the 10-1 portfolio from a sort on historical
% liquidity betas. This procedure is simpler than sorting on predicted betas (as in the original study)
% and through 2024 it is similarly successful at creating a spread in post-ranking betas. The traded
% factor has a positive and significant alpha through 2024, consistent with liquidity risk being priced.
%
% Month	Agg Liq.	Innov Liq (eq8)	Traded Liq (LIQ_V)
200004	 -0.22530357	 -0.21972510	 -0.04316132	
200005	  0.06595434	  0.08254929	 -0.02651480	
200006	 -0.18106617	 -0.15845560	 -0.03392962	
200007	  0.05562614	 -0.06064548	  0.11025636	
200008	 -0.07174736	  0.01956128	 -0.00939793	
200009	 -0.16872981	 -0.15535241	 -0.03893589	
200010	 -0.13664786	 -0.00462534	  0.02337290	
200011	 -0.14439405	 -0.13336618	 -0.03671737	
200012	  0.09559686	  0.06602672	  0.01130186	
200101	 -0.14739081	 -0.05238839	  0.07131207	
200102	 -0.05684650	 -0.06409241	  0.03991331	
200103	 -0.06035493	  0.02472895	  0.07061213	
200104	 -0.06215272	  0.10643226	  0.00743734	
200105	  0.10054836	  0.10982541	  0.03162855	
200106	  0.01593630	  0.08489253	  0.00317664	
200107	 -0.04836669	 -0.00097912	  0.03563154	
200108	 -0.05223821	  0.05740657	  0.04913043	
200109	 -0.04060099	 -0.12760260	 -0.10070463	
200110	  0.06991310	  0.10203641	  0.03493576	
200111	  0.02057022	 -0.00905764	  0.03266710	
200112	  0.01329669	  0.05537712	  0.06825668	
